iteration,agent,x,y,mass,fitness
6,24,0.925323,-0.921136,0.0347127,1.70471
6,25,-1.1914,-1.10005,0.0344901,2.62954
6,26,0.182124,-0.0452407,0.0351146,0.0352159
6,27,9.7965,7.06685,0,145.912
6,28,0.125282,-0.162533,0.0351129,0.0421125
6,29,-1.77066,0.806179,0.0342119,3.78517
7,0,0.552209,-0.149669,0.0349203,0.327335
7,1,0.305739,0.466273,0.0349242,0.310887
7,2,-0.0213349,0.137218,0.0349941,0.0192839
7,3,-0.542248,-0.936217,0.034718,1.17054
7,4,2.9154,-0.269453,0.0329426,8.57217
7,5,0.350951,0.424877,0.0349259,0.303687
7,6,0.420517,-0.174719,0.034949,0.207361
7,7,0.570505,0.0319174,0.0349205,0.326494
7,8,0.434332,-1.60393,0.0343365,2.76124
7,9,0.538992,-0.257484,0.0349132,0.356811
7,10,0.425062,-0.703152,0.0348368,0.6751
7,11,-0.166345,-0.631429,0.0348965,0.426373
7,12,-2.15324,0.0440895,0.0338862,4.63841
7,13,-4.40613,-0.0916468,0.0303401,19.4224
7,14,0.389679,-0.688332,0.0348487,0.62565
7,15,1.73775,-0.211133,0.0342637,3.06434
7,16,0.720453,1.37923,0.034418,2.42134
7,17,-0.48652,-0.241846,0.034928,0.295191
7,18,0.564427,-0.0952296,0.0349202,0.327646
7,19,0.310745,-1.70653,0.0342771,3.00879
7,20,0.673094,-0.0955672,0.0348879,0.462189
7,21,1.04125,0.152531,0.0347331,1.10746
7,22,1.19048,-0.144519,0.0346538,1.43813
7,23,0.750174,-1.23622,0.0344972,2.09101
7,24,0.24571,0.687764,0.0348708,0.533393
7,25,-1.27806,-0.837409,0.0344388,2.33468
7,26,0.459679,0.11822,0.0349447,0.225281
7,27,9.7965,7.06685,0,145.912
7,28,0.487934,-0.0494011,0.0349411,0.24052
7,29,-2.16255,-0.129282,0.033873,4.69332
8,0,0.272811,-0.0371629,0.0348472,0.0758071
8,1,-0.020196,-0.21018,0.0348547,0.0445835
8,2,0.812109,0.0320386,0.0347075,0.660548
8,3,-0.60078,-0.362174,0.0347478,0.492107
8,4,1.62958,-0.282084,0.0342118,2.73509
8,5,0.392824,0.320622,0.0348039,0.25711
8,6,0.368441,0.383508,0.0347978,0.282827
8,7,0.355379,-0.0639131,0.0348342,0.130379
8,8,0.934097,-2.93126,0.0326038,9.46482
8,9,0.352322,-1.00763,0.0345931,1.13945
8,10,0.251151,-0.577069,0.0347707,0.396085
8,11,1.01818,0.262527,0.0346012,1.10561
8,12,-1.46561,-0.401704,0.0343135,2.30938
8,13,-3.70367,-0.0819367,0.0315861,13.7239
8,14,0.150778,-1.20889,0.0345107,1.48415
8,15,0.779895,-0.127211,0.0347161,0.624419
8,16,0.26074,-1.33865,0.0344209,1.85997
8,17,-0.163836,-0.374292,0.0348255,0.166937
8,18,0.312103,-0.490182,0.0347847,0.337687
8,19,0.44434,0.461568,0.0347673,0.410483
8,20,0.252981,-0.178515,0.0348424,0.0958669
8,21,0.374291,0.379041,0.0347975,0.283766
8,22,0.880955,-0.0207788,0.0346798,0.776514
8,23,0.01968,-0.414215,0.0348243,0.171961
8,24,0.252085,1.46151,0.0343398,2.19956
8,25,-0.403777,-0.25225,0.0348112,0.226666
8,26,0.609809,-0.504783,0.0347156,0.626673
8,27,9.7965,7.06685,0,145.912
8,28,0.876801,0.00880789,0.0346816,0.768857
8,29,-1.60797,-0.99847,0.0340093,3.58252
9,0,0.249076,-0.18172,0.034719,0.0950613
9,1,0.334279,-0.705464,0.0345966,0.609422
9,2,0.863386,-0.0988381,0.0345619,0.755205
9,3,0.176222,0.234999,0.0347211,0.086279
9,4,-0.421633,-0.135489,0.034695,0.196132
9,5,0.344959,-0.0114696,0.0347133,0.119129
9,6,0.52011,-0.176855,0.0346698,0.301792
9,7,0.252691,-0.188454,0.034718,0.0993675
9,8,1.11681,-3.23913,0.0319466,11.7393
9,9,0.178793,-1.00309,0.0344945,1.03815
9,10,0.24749,-0.00798326,0.0347271,0.061315
9,11,0.672595,0.075595,0.0346326,0.458099
9,12,-0.0583325,-0.55419,0.0346677,0.310529
9,13,-2.23598,-0.120927,0.0335478,5.01424
9,14,0.221086,-0.789988,0.0345814,0.67296
9,15,-0.479647,0.00609933,0.0346869,0.230099
9,16,0.138179,-2.16686,0.0336192,4.71439
9,17,0.566088,-0.235554,0.0346522,0.375941
9,18,0.235606,-0.413402,0.0346878,0.226411
9,19,0.423815,-0.0394025,0.0346985,0.181172
9,20,0.186419,-0.153267,0.0347278,0.058243
9,21,-0.107685,-0.0135029,0.0347389,0.0117784
9,22,0.189064,-0.0906151,0.0347312,0.0439564
9,23,-0.200719,0.0237631,0.034732,0.0408526
9,24,0.310647,0.886489,0.0345316,0.882363
9,25,1.20209,-0.105981,0.0343949,1.45626
9,26,0.441341,-0.534754,0.0346272,0.480743
9,27,9.7965,7.06685,0,145.912
9,28,0.374683,-0.170785,0.0347013,0.169555
9,29,-0.402947,-0.972138,0.034478,1.10742
10,0,0.346626,-0.21215,0.0346449,0.165157
10,1,0.603751,-0.727004,0.0344719,0.89305
10,2,0.394294,-0.317661,0.0346232,0.256376
10,3,0.74771,0.0213171,0.0345512,0.559524
10,4,-1.58405,-0.087082,0.0340859,2.51679
10,5,0.252215,-0.458725,0.034619,0.274041
10,6,0.349308,-0.216227,0.0346441,0.16877
10,7,0.266534,-0.202994,0.0346575,0.112247
10,8,0.921184,-2.59563,0.032881,7.58586
10,9,0.144738,-0.231003,0.0346665,0.0743115
10,10,0.270336,-0.240796,0.034653,0.131064
10,11,-0.0392059,-0.364032,0.0346523,0.134056
10,12,1.45978,-0.224704,0.0341656,2.18145
10,13,-0.752516,-0.151055,0.0345441,0.589098
10,14,0.381827,-0.130655,0.0346455,0.162862
10,15,-0.44004,-0.101008,0.0346357,0.203838
10,16,0.101758,-1.98578,0.0337444,3.95366
10,17,0.84532,-0.0689343,0.0345132,0.719319
10,18,0.258058,0.0476688,0.0346678,0.0688661
10,19,0.127884,-0.398536,0.0346425,0.175185
10,20,0.383996,-0.157309,0.0346432,0.172199
10,21,-0.0802752,-0.248234,0.034668,0.0680642
10,22,-0.0412475,-0.3774,0.0346499,0.144132
10,23,0.283996,-0.0558368,0.0346643,0.0837714
10,24,0.306918,0.12331,0.0346582,0.109404
10,25,1.58334,-0.0168114,0.0340882,2.50726
10,26,0.00583547,-0.160559,0.034678,0.0258134
10,27,9.7965,7.06685,0,145.912
10,28,-0.200393,-0.421051,0.0346325,0.217442
10,29,0.405772,-0.392137,0.0346085,0.318422
11,0,0.383536,-0.266044,0.0345709,0.217879
11,1,0.537344,-0.376083,0.0345205,0.430177
11,2,-0.0807512,-0.329597,0.0345953,0.115155
11,3,0.736236,-0.410521,0.034454,0.710571
11,4,-1.10707,-0.138615,0.0343272,1.24482
11,5,0.206537,-0.299092,0.0345912,0.132113
11,6,0.0511747,-0.239495,0.0346084,0.0599765
11,7,0.352224,-0.295873,0.0345724,0.211602
11,8,0.627616,-1.85637,0.0337114,3.84001
11,9,0.35653,0.369691,0.03456,0.263785
11,10,0.304152,-0.293671,0.0345802,0.178751
11,11,-0.414615,-0.258402,0.034566,0.238677
11,12,1.68308,0.0457637,0.0339499,2.83484
11,13,0.20052,-0.208117,0.0346028,0.083521
11,14,0.248893,-0.298114,0.0345868,0.15082
