iter,avg_best,median_best,std_best,avg_mean
298,0.000439926,0.000436706,0.000107383,0.00212577
299,0.000406578,0.000403691,8.72417e-05,0.00147468
300,0.000401862,0.000401788,8.6661e-05,0.0019703
301,0.000378331,0.000383808,8.35694e-05,0.00134036
302,0.00037289,0.000374173,8.22898e-05,0.00173839
303,0.00033005,0.000328913,6.68501e-05,0.00122272
304,0.000321754,0.000328913,5.09257e-05,0.00158408
305,0.000310289,0.00031737,5.47981e-05,0.00112416
306,0.000301481,0.000297859,5.19956e-05,0.00138392
307,0.000278933,0.000268154,4.92539e-05,0.00102236
308,0.0002777,0.000268154,4.83417e-05,0.00122031
309,0.000252992,0.000246556,5.54534e-05,0.00093261
310,0.000242532,0.000236795,5.02506e-05,0.00109743
311,0.000230411,0.000229514,4.72005e-05,0.000837842
312,0.000221139,0.000216937,4.50631e-05,0.00104983
313,0.000212589,0.000207831,3.93668e-05,0.000794658
314,0.000209574,0.000202533,3.61547e-05,0.00106925
315,0.000199503,0.000193181,3.58848e-05,0.000744556
316,0.00019426,0.000191985,3.08125e-05,0.00100753
317,0.000184974,0.000181132,3.41739e-05,0.000717293
318,0.000183626,0.000180364,3.479e-05,0.000913168
319,0.000174303,0.000172006,3.2688e-05,0.000661837
320,0.000171228,0.000171346,3.10125e-05,0.00084805
321,0.000164292,0.000168438,3.29779e-05,0.000628392
322,0.000159834,0.000168438,3.33842e-05,0.00079551
323,0.000154004,0.000159794,2.9818e-05,0.000581785
324,0.000150914,0.000154796,3.074e-05,0.000735952
325,0.000144645,0.000144271,2.89238e-05,0.000537306
326,0.000139763,0.000144271,2.59891e-05,0.000656686
327,0.000130964,0.000127091,2.40057e-05,0.000479129
328,0.000122583,0.000118043,2.33595e-05,0.000579351
329,0.000115735,0.000112392,2.09089e-05,0.000460708
330,0.000114478,0.000111634,2.02303e-05,0.000515447
331,0.000109196,0.000109187,1.64285e-05,0.000400781
332,0.000105208,0.000107053,1.55169e-05,0.000472449
